id,name,image,description,maxdepth,sights
16,Shark Reef and Yolanda Reef,http://www.indigoscuba.com/wp-content/uploads/2014/02/Yolanda1-600x400.jpg,"This spot offers a great reef with beautiful coral and a teeming reef life. Keep an eye in the blue as there are also many pelagic fishes such as shoals of Barracudas, Jacks and Trevallies. Various Reef Sharks such as Grey and Blacktip Reef Sharks can also be spotted in the blue. At the end of your dive you can see the remains of the Yolanda Wreck that was carrying toilets seats. This a great wall dive with many cracks full of life and hard and soft 
coral. Whitetip Reef Sharks are usually spotted in the deeper section of the wall.",25,"wreck, Barracudas, Jacks, Trevallies, Reef Sharks"
17,Anemone City,https://g4k5b9h2.stackpathcdn.com/wp-content/uploads/2015/04/anemone-via-olivier-notz.jpg,This is a really beautiful dive site with an interesting underwater topography featuring many plateaus cutting the steep reef slope. The coral formations are really nice and of course there are lots of Anemones and Clown fish! Pelagic and Reef Sharks are also a common encounter.,20,"Anemones, Clown fish, Pelagic sharks, Reef Sharks"
18,Ras Ghozlani,https://d3nbr7hy52g8zf.cloudfront.net/580735f7b9fac89674d28559/20161219014622807.jpg,This an easy and shallow (15m deep) wall dive. The hard and soft coral is prolific and very beautiful. This is a great dive site if you like to observe small reef species. This a really beautiful spot and less crowded.,15,"Reef, corals, pinnacles, sea fans, caves, anemones, napoleonfish, groupers, pufferfish, eagle rays"
19,Jackfish Alley,https://66.media.tumblr.com/e56ac644559ccfa8f8d01e2db0f6de7e/tumblr_nr8rjxnWMy1st2k7zo1_1280.jpg,Jackfish Alley dive site is a steep wall with several small caves to explore. There are also two sandy plateaus where you can find many stingrays giving to this spot its second name: Stingray Alley! The marine life is teeming and the coral is beautiful.,20,"stingrays, caves"
20,Ras Zatar,http://premyslik.cz/images/fullsize/DSC_0739%20ras%20zatar.jpg.JPG,This is a wall dive featuring many fissures and small caves. Very interesting site if you like to explore small cracks to take nice underwater pictures! The hard and soft coral is beautiful and the marine life is teeming.,50,"tube worms, corals, nudibranchs, barracuda, sharks, manta rays"
21,"Canyon, Dahab",https://i.pinimg.com/originals/4a/bf/5d/4abf5d818dd0a970c072507c8b038f1d.jpg,"The Canyon or ""Canyon"" dive site might just be one of Dahab's most famous and popular sites.  Up to 10 meters high and virtually closed over at the top, it snakes its way up from the depths, to emerge in a large glassfish filled coral dome. The Canyon dive site offers an easy entry and exit point through a shallow, sandy lagoon. This leads out to beautiful coral gardens inhabited by Butterflyfishes, Unicornfishes, Octopus, Pufferfish and of course Red Sea Anthias, which can only be fully explored after several visits. The Canyon itself is positioned about five minutes north-east from the exit of the lagoon. The entry to the Canyon is done through it largest point at about 20 meters. ",33,"Butterflyfishes, Unicornfishes, Octopus, Pufferfish, anthias"
22,Ras Abu Galum,https://media-cdn.tripadvisor.com/media/photo-s/0b/8e/8d/5d/scuba-diving-in-ras-abu.jpg,"This dive site has an average depth of 30m/100ft and visibility around 30m/100ft suits divers of all experience levels. Diving here is often started with a sandy slope that descends from the shore with the reef wall starting on both sides. Lots of pinnacles, dramatic rock formations and a various marine life can be explored at this dive site. The northern side of the site is famous for its coral gardens. ",60,"Turtles, Eagle Rays, Barracudas, Octopus, strange-shaped sponges, big pinnacles"
23,Moray Garden,http://redsealegend.com/wp-content/uploads/2015/04/Moray-Garden-620x245.jpg," South of Dahab this beautiful shore dive offers the chance to see an abundance of stony coral, including yellow waver and raspberry coral. Clownfish, morays, nudibranchs and scorpion fish are always encountered and often rarer species are seen too. Be sure to go through the shallow sandy patch known for the yellow tail barracudas that patrol the site and make for great photographs. This area is an underwater photographers dream, with the sandy bottom making an easy background for a great photo. ",30,"yellow waver coral, raspberry coral, Clownfish, morays, nudibranchs, scorpion fish "
24,Golden Blocks,https://divescover.com/images/inmersion/1/4/6/3/0/14630_a.jpg,"Located in the Southern Oasis, two hard coral towers of golden colour give the site its name. Descend over a sandy slope, diving above an extensive area of sea grass on the right at a depth of 16 -20 metres you will then reach the golden block towers marked by a big gorgonian at 18 metres. The dive is made up of sandy slopes and coral blocks and can be done as a loop back to the entrance or as a drift dive. 
",35,fan corals
25,Lighthouse,https://media-cdn.tripadvisor.com/media/photo-s/06/dc/8f/c2/scuba-seekers.jpg,"You'll most likely end up here on your first dive in Dahab! A great place to freshen up your dive skills or start your courses - just a couple of footsteps away from the main streets of Dahab. Always full of students, it will be your entry point to further out dive sites once qualified. There is a cool elephant statue and other props to see underwater and even a resident turtle in the summer months. ",35,"turtles, large octopus, morays, red sea walkman, crocodile fish"
26,Three Pools,https://dahabzone.com/wp-content/uploads/2019/07/three-pools_dahab-zone_001--700x370.jpg,"This dive site starts with a series of three natural pools with a sandy bottom. Starting the dive at high tide makes it easier to pass from one pool to another. After exploring the third pool, exit into open water. Once out into open water you will find a hard coral slope with massive pore corals and small pinnacles between which you can find salad corals and brain corals. Descend to a depth of 15 / 20 metres and circle a sandy plateau while keeping the reef on your left. End the dive by coming back to your starting point or if sea conditions and available remaining air permit, drift to Moray Garden in a gorgeous shallow lagoon.",20,"crocodile fish, scorpion fish, octopus, lion fish"
27,Bannerfish Bay,http://www.sunnyexplores.com/wp-content/uploads/2017/07/Sunnyexplores-BFB3kopie.jpg,"Great site for training dives and divers interested in photography and marine biology! The patches of coral are covered in fish and the sea grass is home to sea horses, pipe fish and many small rarities. There are also car tyres and clay pots which make a great home for small fish, eels, anemones and octopus. There is even a coral encrusted car wreck, which is a testament to how nature can reclaim the alien and destructive, as its own. ",30,"sea horses, pipe fish, car tyres, clay pots, eels, anemones, octopus
"
28,"Jackson Reef, Tiran Island ",https://i.pinimg.com/originals/94/e3/43/94e343126c6efc179f6f91b23941db4e.jpg,"The reef is one of the four coral reefs that run along the Straits of Tiran. The site is filled with brightly colored coral gardens that grow in good health, attracting a variety of fish like manta rays, white tip, grey reef, guitar and hammerhead sharks.",22,"manta rays, white tip, grey reef, guitar, hammerhead sharks"
29,Habili Ali and  St. Johns Caves,https://g4k5b9h2.stackpathcdn.com/wp-content/uploads/2015/04/st-johns-eily-maher.jpg,"The Red Sea’s deep south St. John’s reefs lie on the Tropic of Cancer in Foul Bay, near Hamata and close to the Sudanese border. With plenty of tunnels, caverns, overhangs, swim-throughs and caves, and great visibility, the site is an ideal photographic opportunity. At the easternmost diving point of St. Johns is an oval-shaped reef known as Habili Reef. The site is filled with specimens of elkhorn coral, blue coral, large gorgonian fans and black coral forests.",35,"tunnels, elkhorn coral, blue coral, large gorgonian fans, black coral forests"
